task_id,strategy,success,predicted_value,target_value,calls,minimum_calls,prompt_tokens,completion_tokens,state_bytes,failure_codes,config_id,efficiency,success_per_1k_prompt_tokens
connected_distractors-seed0,dependency_pruning,True,642,642,5,5,11829,6674,349,,connected_distractors,1.0,0.084537999830924
connected_distractors-seed100,dependency_pruning,True,816,816,6,5,13558,10710,349,value_not_yet_known,connected_distractors,0.8333333333333334,0.0737571913261543
connected_distractors-seed200,dependency_pruning,True,324,324,6,5,13863,12951,337,value_not_yet_known,connected_distractors,0.8333333333333334,0.07213445863088798
connected_distractors-seed300,dependency_pruning,True,599,599,5,5,11628,7087,350,,connected_distractors,1.0,0.08599931200550395
connected_distractors-seed400,dependency_pruning,True,972,972,5,5,11803,4866,361,,connected_distractors,1.0,0.08472422265525714
deep_depth-seed0,dependency_pruning,True,856,856,5,5,6732,6402,342,,deep_depth,1.0,0.14854426619132502
deep_depth-seed100,dependency_pruning,True,613,613,5,5,6592,5785,338,,deep_depth,1.0,0.15169902912621358
deep_depth-seed200,dependency_pruning,True,882,882,5,5,6021,3108,339,,deep_depth,1.0,0.16608536787908984
deep_depth-seed300,dependency_pruning,True,362,362,6,5,7661,6627,356,value_not_yet_known,deep_depth,0.8333333333333334,0.13053126223730582
deep_depth-seed400,dependency_pruning,True,123,123,5,5,6189,3599,347,,deep_depth,1.0,0.16157699143641946
easy_depth-seed0,dependency_pruning,True,324,324,5,5,7143,3271,533,,easy_depth,1.0,0.1399972000559989
easy_depth-seed100,dependency_pruning,True,944,944,5,5,7001,2288,524,,easy_depth,1.0,0.14283673760891302
easy_depth-seed200,dependency_pruning,True,395,395,5,5,7064,3183,512,,easy_depth,1.0,0.14156285390713477
easy_depth-seed300,dependency_pruning,True,168,168,5,5,7072,3550,519,,easy_depth,1.0,0.1414027149321267
easy_depth-seed400,dependency_pruning,True,157,157,5,5,6998,3031,514,,easy_depth,1.0,0.14289797084881395
connected_distractors-seed0,full_history,True,642,642,7,5,15968,12326,0,value_not_yet_known;value_not_yet_known,connected_distractors,0.7142857142857143,0.062625250501002
connected_distractors-seed100,full_history,True,816,816,7,5,15408,16271,0,value_not_yet_known;value_not_yet_known,connected_distractors,0.7142857142857143,0.06490134994807892
connected_distractors-seed200,full_history,True,324,324,5,5,11335,6700,0,,connected_distractors,1.0,0.08822232024702249
connected_distractors-seed300,full_history,False,,599,1,5,3495,6129,0,thinking_output_budget_exhausted,connected_distractors,5.0,0.0
connected_distractors-seed400,full_history,False,,972,4,5,9328,10737,0,thinking_output_budget_exhausted,connected_distractors,1.25,0.0
deep_depth-seed0,full_history,True,856,856,5,5,6357,6009,0,,deep_depth,1.0,0.15730690577316345
deep_depth-seed100,full_history,True,613,613,5,5,6220,4701,0,,deep_depth,1.0,0.1607717041800643
deep_depth-seed200,full_history,True,882,882,5,5,5645,2789,0,,deep_depth,1.0,0.1771479185119575
deep_depth-seed300,full_history,True,362,362,5,5,6004,5298,0,,deep_depth,1.0,0.1665556295802798
deep_depth-seed400,full_history,True,123,123,5,5,5815,3170,0,,deep_depth,1.0,0.17196904557179707
easy_depth-seed0,full_history,False,,324,1,5,1871,4988,0,thinking_output_budget_exhausted,easy_depth,5.0,0.0
easy_depth-seed100,full_history,True,944,944,5,5,6289,3574,0,,easy_depth,1.0,0.1590077913817777
easy_depth-seed200,full_history,True,395,395,5,5,6341,4263,0,,easy_depth,1.0,0.15770383220312253
easy_depth-seed300,full_history,True,168,168,5,5,6362,4811,0,,easy_depth,1.0,0.15718327569946558
easy_depth-seed400,full_history,True,157,157,5,5,6294,3586,0,,easy_depth,1.0,0.15888147442008263
connected_distractors-seed0,json_state,True,642,642,5,5,11829,6688,349,,connected_distractors,1.0,0.084537999830924
connected_distractors-seed100,json_state,True,816,816,6,5,13558,10424,349,value_not_yet_known,connected_distractors,0.8333333333333334,0.0737571913261543
connected_distractors-seed200,json_state,True,324,324,6,5,13863,11829,337,value_not_yet_known,connected_distractors,0.8333333333333334,0.07213445863088798
connected_distractors-seed300,json_state,True,599,599,6,5,13775,11784,350,value_not_yet_known,connected_distractors,0.8333333333333334,0.07259528130671507
connected_distractors-seed400,json_state,True,972,972,5,5,11803,4817,361,,connected_distractors,1.0,0.08472422265525714
deep_depth-seed0,json_state,True,856,856,5,5,6732,6560,342,,deep_depth,1.0,0.14854426619132502
deep_depth-seed100,json_state,True,613,613,5,5,6592,5567,338,,deep_depth,1.0,0.15169902912621358
deep_depth-seed200,json_state,True,882,882,5,5,6021,3162,339,,deep_depth,1.0,0.16608536787908984
deep_depth-seed300,json_state,True,362,362,6,5,7661,7136,356,value_not_yet_known,deep_depth,0.8333333333333334,0.13053126223730582
deep_depth-seed400,json_state,True,123,123,5,5,6189,3607,347,,deep_depth,1.0,0.16157699143641946
easy_depth-seed0,json_state,True,324,324,5,5,7143,3551,533,,easy_depth,1.0,0.1399972000559989
